id,age,sex_label,education_label,marriage_label,limit_bal,utilization,max_delay,n_months_delayed,delay_trend,default_next_month
96,35,Male,University,Single,90000,0.9303,0,0,0,0
97,43,Male,Graduate school,Married,360000,0.011,0,0,-1,0
98,27,Male,Graduate school,Single,150000,0.5734,0,0,0,0
99,22,Female,High school,Married,50000,0.3744,0,0,0,0
100,38,Male,University,Married,20000,0.8986,0,0,1,1
101,32,Male,Graduate school,Single,140000,0.0048,-2,0,0,0
102,30,Female,Graduate school,Single,380000,0.0,0,0,-2,0
103,63,Male,Graduate school,Married,480000,0.8793,2,2,0,0
104,22,Female,High school,Single,50000,0.894,0,0,0,1
105,26,Female,University,Single,60000,0.9448,2,5,2,0
106,24,Female,University,Single,70000,0.0797,-1,0,0,0
107,36,Female,University,Married,80000,0.0764,-1,0,0,0
108,52,Male,Graduate school,Single,350000,0.002,-1,0,0,0
109,38,Male,University,Single,130000,1.3188,0,0,1,0
110,35,Male,University,Married,360000,0.0,1,1,3,0
111,31,Female,Graduate school,Married,330000,0.3208,2,1,0,0
112,47,Male,High school,Married,50000,0.2649,2,1,0,0
113,41,Male,University,Married,280000,0.4845,3,6,-1,0
114,24,Female,Graduate school,Single,100000,0.5213,0,0,0,0
115,41,Male,University,Single,50000,0.3803,0,0,0,0
116,24,Male,Graduate school,Single,30000,0.6066,3,3,-3,1
117,28,Male,Graduate school,Single,240000,0.0014,-1,0,0,0
118,26,Male,University,Single,80000,0.1754,2,1,2,1
119,34,Male,University,Married,400000,0.0492,-1,0,0,0
120,38,Female,University,Single,240000,0.2094,0,0,1,0
121,37,Male,High school,Single,50000,0.9201,3,6,0,1
122,40,Male,Graduate school,Married,450000,0.0,1,1,3,1
123,48,Female,Graduate school,Married,110000,0.0,1,1,3,0
124,35,Female,University,Married,310000,0.9838,2,1,2,1
125,27,Male,Graduate school,Single,20000,0.9558,0,0,0,0
126,23,Male,University,Single,20000,0.0,1,1,3,0
127,52,Male,High school,Single,200000,0.5508,0,0,0,0
128,36,Male,Graduate school,Married,180000,0.9096,0,0,0,1
129,51,Male,University,Married,50000,0.0669,0,0,0,1
130,55,Male,High school,Married,60000,1.0087,3,3,3,0
131,23,Female,Graduate school,Single,30000,0.1333,1,1,2,0
132,41,Male,Graduate school,Single,240000,0.0004,1,1,2,0
133,34,Male,University,Married,420000,0.6035,0,0,0,0
134,46,Male,High school,Married,330000,0.6891,0,0,0,0
135,22,Female,University,Single,30000,0.9484,0,0,0,0
136,34,Male,University,Married,240000,0.0445,2,3,-2,0
137,27,Male,Graduate school,Single,150000,0.1163,0,0,0,0
138,33,Female,University,Married,210000,0.0341,0,0,0,0
139,51,Female,High school,Married,50000,0.015,-1,0,1,1
140,24,Male,Graduate school,Single,50000,1.016,0,0,0,0
141,47,Male,Graduate school,Single,240000,0.0,1,1,3,1
142,28,Male,University,Single,180000,0.0102,-1,0,0,0
143,23,Male,University,Single,50000,0.2026,2,4,1,0
144,29,Male,University,Single,170000,0.0715,-2,0,0,0
145,29,Male,Graduate school,Single,20000,0.06,0,0,0,0
146,28,Male,Graduate school,Single,50000,0.1,3,1,-3,0
147,27,Female,University,Single,170000,0.1133,0,0,0,1
148,34,Male,Graduate school,Single,200000,0.9862,2,2,1,0
149,23,Female,University,Married,80000,0.1146,3,4,1,0
150,60,Female,Graduate school,Married,260000,0.0,1,1,2,0
151,32,Male,University,Married,140000,0.6188,2,1,0,0
152,25,Male,Graduate school,Single,80000,0.5306,0,0,0,0
153,41,Male,Graduate school,Single,350000,0.0006,1,1,3,0
154,56,Female,University,Married,280000,0.7456,0,0,0,0
155,26,Female,High school,Single,30000,0.3005,0,0,0,0
156,34,Male,Graduate school,Married,140000,0.171,0,0,0,0
157,37,Female,Graduate school,Single,200000,0.5271,0,0,0,0
158,30,Female,High school,Single,200000,0.9802,0,0,0,0
159,45,Male,High school,Married,210000,0.5514,6,6,-4,1
160,57,Male,High school,Married,50000,0.2571,3,2,3,0
161,41,Male,Graduate school,Single,30000,0.8119,2,5,2,0
162,27,Male,University,Single,50000,0.0078,2,2,0,0
163,47,Male,High school,Married,290000,0.0043,0,0,0,0
164,34,Female,Graduate school,Married,250000,0.5649,2,1,0,0
165,46,Female,University,Married,60000,0.3525,0,0,0,0
166,27,Female,Graduate school,Single,110000,0.924,0,0,0,0
167,50,Male,Graduate school,Single,370000,0.0165,-2,0,0,0
168,27,Male,University,Married,100000,1.0235,2,2,-1,0
169,35,Female,University,Married,90000,0.8012,2,1,-2,0
170,22,Female,University,Single,50000,0.5608,0,0,0,0
171,37,Male,University,Single,270000,0.1396,0,0,0,0
172,30,Female,Graduate school,Single,300000,0.0023,-1,0,0,0
173,22,Female,University,Single,50000,0.1713,0,0,-1,0
174,24,Female,Graduate school,Single,50000,0.0,1,1,3,1
175,29,Male,Graduate school,Single,360000,0.0,1,1,3,0
176,56,Male,High school,Married,130000,0.4971,3,6,-2,1
177,30,Male,Graduate school,Single,80000,0.0773,0,0,-2,0
178,30,Male,University,Single,50000,0.9772,2,3,-1,0
179,22,Female,University,Single,20000,0.8,0,0,0,0
180,29,Female,University,Married,80000,0.9735,2,1,0,0
181,37,Male,Graduate school,Single,240000,0.0509,2,1,0,0
182,35,Female,High school,Single,80000,0.6201,0,0,0,0
183,47,Female,Graduate school,Married,500000,0.1128,0,0,0,0
184,24,Female,University,Married,60000,0.9671,0,0,0,1
185,25,Male,University,Single,20000,0.5321,0,0,1,0
186,38,Female,University,Married,100000,0.1448,2,3,1,1
187,32,Female,Graduate school,Single,360000,0.0073,1,1,2,0
188,47,Female,High school,Single,200000,0.9972,2,6,0,1
189,34,Female,University,Married,130000,0.0,1,1,1,0
190,31,Female,University,Single,20000,1.0852,5,6,-1,0
191,32,Male,Graduate school,Single,310000,0.1932,0,0,0,0
192,27,Female,Graduate school,Single,60000,0.3271,2,2,2,1
193,29,Female,Graduate school,Single,180000,0.0633,0,0,-1,0
194,24,Female,Graduate school,Single,180000,0.0815,2,1,1,0
195,36,Male,University,Married,50000,0.9558,0,0,1,0
196,24,Female,Graduate school,Single,50000,0.7233,2,6,-1,1
197,34,Female,University,Married,150000,0.0,-2,0,0,0
198,22,Female,Graduate school,Single,20000,0.9276,0,0,0,0
199,34,Female,Graduate school,Married,500000,0.0008,-1,0,-1,0
200,22,Female,High school,Single,30000,0.967,2,3,1,1
201,38,Female,Graduate school,Married,180000,0.0042,-2,0,0,0
202,31,Male,Graduate school,Single,140000,0.1937,2,2,-2,0
203,26,Female,Graduate school,Single,140000,0.0959,0,0,0,0
204,26,Male,University,Single,120000,0.8943,0,0,0,0
205,48,Female,University,Married,360000,0.629,0,0,0,0
206,43,Male,High school,Married,20000,0.0114,0,0,-1,0
207,47,Male,Graduate school,Married,100000,0.0039,-1,0,0,0
208,41,Female,University,Married,210000,0.0147,-1,0,0,1
209,24,Female,University,Single,80000,1.0203,0,0,0,1
210,50,Female,Graduate school,Married,330000,0.0269,-1,0,1,0
211,24,Male,Graduate school,Single,220000,0.48,0,0,1,0
212,38,Female,Graduate school,Married,210000,0.0,1,1,2,1
213,43,Female,High school,Married,40000,0.9564,0,0,0,0
214,39,Male,University,Single,30000,0.9449,2,1,0,0
215,27,Male,University,Single,470000,0.631,2,4,2,0
216,42,Male,High school,Married,30000,0.013,2,1,-3,0
217,36,Female,University,Married,240000,0.0,1,1,3,1
218,36,Male,University,Single,80000,0.991,2,1,2,0
219,31,Female,High school,Others,110000,0.8181,0,0,0,0
220,38,Female,Graduate school,Single,310000,0.0046,-1,0,1,0
221,40,Female,Graduate school,Married,360000,0.2921,2,3,2,1
222,45,Female,High school,Single,330000,1.0157,0,0,0,0
223,35,Female,University,Single,300000,0.9721,0,0,0,0
224,33,Female,University,Single,320000,0.2864,0,0,0,0
225,37,Female,High school,Single,50000,1.0525,3,3,1,1
226,28,Female,Graduate school,Single,170000,0.7669,0,0,0,0
227,44,Male,High school,Married,350000,0.0093,-1,0,1,0
228,37,Male,University,Married,20000,0.8228,0,0,0,0
229,23,Male,University,Single,50000,0.9952,2,1,2,1
230,24,Female,High school,Single,20000,0.9577,2,2,1,0
231,24,Female,Graduate school,Single,50000,0.7017,0,0,0,0
232,23,Male,University,Single,20000,1.0118,2,3,1,1
233,26,Male,University,Married,50000,2.0,0,0,0,0
234,34,Male,University,Single,190000,0.6832,2,3,0,1
235,33,Female,University,Married,60000,0.97,0,0,0,0
236,35,Male,Graduate school,Single,80000,0.0998,-1,0,0,0
237,27,Female,University,Single,150000,0.8493,0,0,0,0
238,31,Female,Graduate school,Single,210000,0.0069,-1,0,-1,0
239,50,Female,High school,Married,240000,0.9759,0,0,0,1
240,41,Female,University,Others,140000,0.1382,0,0,0,1
241,28,Female,Graduate school,Single,60000,0.3584,2,3,2,0
242,39,Male,Graduate school,Single,50000,0.9435,0,0,0,0
243,27,Female,University,Single,50000,0.5331,0,0,0,0
244,32,Female,Graduate school,Single,180000,0.0174,2,2,0,0
245,40,Female,Graduate school,Single,30000,0.0047,2,4,-3,0
246,40,Female,University,Single,20000,0.9908,0,0,2,0
247,75,Female,University,Married,250000,0.2115,0,0,1,0
248,27,Female,University,Single,100000,0.3777,0,0,0,0
249,25,Male,Graduate school,Single,330000,0.1398,2,1,0,0
250,46,Male,High school,Married,50000,0.7143,0,0,0,0
251,26,Female,University,Single,50000,1.0173,2,3,1,0
252,28,Male,University,Single,30000,0.9747,0,0,0,0
253,26,Female,University,Single,140000,0.7254,0,0,0,1
254,28,Female,Graduate school,Single,160000,0.439,0,0,0,0
255,29,Female,University,Single,400000,0.0488,0,0,0,0
256,25,Male,University,Married,50000,0.554,0,0,0,0
257,48,Female,University,Married,140000,0.0082,0,0,1,0
258,33,Female,University,Married,160000,0.0501,0,0,0,0
259,43,Female,High school,Married,100000,0.6217,0,0,2,0
260,48,Male,Graduate school,Married,220000,0.9563,2,1,2,1
261,29,Female,Graduate school,Single,510000,0.1536,0,0,0,0
262,29,Male,University,Single,50000,0.9855,0,0,0,0
263,38,Female,Graduate school,Married,160000,0.028,2,1,0,0
264,37,Female,Graduate school,Single,230000,0.0099,-2,0,0,0
265,37,Female,Graduate school,Single,80000,0.1264,-1,0,0,0
266,25,Female,University,Married,150000,0.041,-1,0,0,0
267,23,Male,High school,Single,10000,0.6974,2,1,-2,0
268,49,Female,High school,Single,130000,0.6846,0,0,0,1
269,48,Female,Graduate school,Single,40000,0.8718,0,0,0,0
270,27,Male,University,Single,50000,0.2739,3,3,4,1
271,32,Male,High school,Single,100000,0.7,0,0,0,0
272,34,Male,Graduate school,Married,120000,0.009,2,1,-1,0
273,58,Female,Graduate school,Single,260000,0.0,1,1,3,1
274,33,Female,University,Single,200000,0.0563,0,0,0,0
275,28,Female,University,Single,360000,0.0,-2,0,0,1
276,36,Female,University,Single,70000,0.9814,0,0,0,0
277,40,Male,Graduate school,Married,460000,0.0004,2,1,3,1
278,26,Female,Graduate school,Single,50000,0.0231,-1,0,0,0
279,33,Male,High school,Married,50000,1.0172,0,0,0,0
280,31,Female,University,Married,250000,0.4124,0,0,0,0
281,27,Female,Graduate school,Single,30000,0.0504,0,0,2,0
282,44,Male,University,Married,270000,0.4724,0,0,1,0
283,30,Female,High school,Single,180000,0.9108,0,0,0,0
284,28,Female,Graduate school,Single,100000,0.5349,0,0,0,0
285,32,Female,High school,Married,230000,0.8484,0,0,0,0
286,46,Female,Graduate school,Married,210000,0.5255,-1,0,0,0
287,38,Male,Graduate school,Single,210000,0.2881,2,1,2,0
288,46,Female,University,Married,440000,0.4105,0,0,0,0
289,25,Female,University,Single,100000,0.709,2,1,2,1
290,46,Female,University,Married,240000,0.0365,0,0,0,0
291,33,Male,Graduate school,Single,280000,0.0032,-1,0,0,1
292,22,Female,University,Single,50000,0.0,1,1,3,1
293,43,Male,University,Married,30000,0.0567,3,6,1,0
294,27,Male,University,Single,10000,0.7015,2,1,0,1
295,29,Male,Graduate school,Single,130000,0.0,1,1,3,0
296,31,Male,Graduate school,Single,200000,0.9718,0,0,0,0
297,29,Female,University,Married,120000,0.014,-1,0,0,0
298,36,Female,University,Married,210000,0.682,0,0,0,0
299,36,Female,Graduate school,Married,280000,0.2107,0,0,0,0
300,34,Male,Graduate school,Single,300000,0.0,1,1,2,1
301,37,Male,University,Single,100000,0.9921,0,0,0,0
302,36,Female,Graduate school,Single,440000,0.0,-2,0,0,0
303,40,Female,High school,Married,50000,0.9988,0,0,0,0
304,25,Female,Graduate school,Single,20000,0.5984,2,1,0,1
305,27,Female,Graduate school,Single,200000,0.0044,0,0,-1,0
306,26,Female,University,Single,110000,0.0039,-2,0,0,0
307,36,Female,University,Married,500000,0.021,-1,0,0,0
308,27,Female,University,Married,300000,0.0,1,1,3,0
309,55,Male,High school,Married,30000,0.324,4,6,-2,1
310,27,Female,Graduate school,Single,60000,0.3474,-1,0,0,0
311,38,Female,University,Married,400000,0.0092,0,0,0,0
312,34,Female,University,Married,180000,0.7961,0,0,0,0
313,40,Male,Graduate school,Single,20000,0.5467,2,1,0,0
314,49,Female,High school,Married,200000,0.2622,2,3,-1,1
315,27,Male,Graduate school,Single,100000,0.5573,0,0,0,0
316,23,Male,University,Single,60000,0.8251,0,0,0,1
317,36,Female,University,Single,110000,0.4347,0,0,0,0
318,53,Female,High school,Married,260000,0.0,1,1,2,0
319,46,Female,High school,Married,50000,0.9704,3,3,3,0
320,29,Male,University,Single,180000,0.0,1,1,3,0
321,29,Male,University,Single,110000,0.5306,2,3,1,1
322,27,Female,Graduate school,Single,340000,0.5064,0,0,0,0
323,24,Male,University,Single,50000,0.028,0,0,-1,0
324,28,Female,University,Married,230000,0.1146,0,0,1,1
325,32,Female,University,Single,360000,0.2584,0,0,0,0
326,43,Male,University,Single,210000,0.0,1,1,1,0
327,41,Female,University,Married,220000,0.003,2,3,0,1
328,34,Female,University,Married,60000,0.415,2,5,2,1
329,55,Male,University,Married,340000,0.1482,-1,0,0,0
330,40,Male,Graduate school,Married,150000,0.6657,2,6,0,0
331,37,Female,University,Married,200000,0.0,2,2,2,1
332,40,Female,University,Single,130000,0.0735,2,1,0,1
333,28,Female,Graduate school,Single,60000,0.1757,2,2,1,0
334,43,Female,University,Married,400000,0.0,1,1,2,0
335,27,Male,Graduate school,Single,20000,1.0286,0,0,0,0
336,28,Female,Graduate school,Single,190000,0.7551,0,0,0,0
337,30,Female,Graduate school,Single,260000,0.6034,0,0,0,0
338,31,Female,University,Single,140000,0.0028,-2,0,0,0
339,31,Female,University,Married,50000,0.9302,0,0,0,1
340,34,Female,Graduate school,Single,120000,0.0074,0,0,0,0
341,30,Female,University,Single,240000,0.0004,-2,0,0,0
342,36,Male,University,Single,50000,0.1183,0,0,0,0
343,29,Female,Graduate school,Single,200000,0.012,2,2,-3,0
344,39,Male,Graduate school,Married,180000,1.5263,0,0,1,0
345,26,Female,Graduate school,Single,180000,0.8078,0,0,0,0
346,29,Female,Graduate school,Single,160000,0.0194,0,0,-1,0
347,26,Female,University,Single,100000,0.0137,0,0,-1,0
348,29,Female,University,Single,50000,0.9416,0,0,0,1
349,31,Female,University,Single,140000,0.9866,0,0,0,0
350,26,Female,University,Single,30000,0.5964,0,0,0,1
351,26,Male,Graduate school,Single,90000,0.4348,0,0,1,0
352,36,Male,Graduate school,Married,200000,0.0,1,1,2,0
353,30,Male,Graduate school,Single,380000,0.0,1,1,3,1
354,43,Female,University,Single,80000,0.9632,0,0,0,0
355,58,Male,High school,Married,50000,0.318,2,4,0,0
356,45,Male,University,Married,180000,0.1538,0,0,-1,1
357,26,Female,University,Single,240000,0.5888,0,0,0,0
358,34,Male,University,Single,380000,0.5114,0,0,0,0
359,24,Female,Others,Single,110000,0.7614,0,0,0,0
360,34,Male,Graduate school,Married,260000,0.191,-1,0,0,0
361,23,Female,University,Single,500000,1.0155,4,3,4,1
362,30,Female,University,Single,320000,0.2228,0,0,0,0
363,32,Male,University,Single,50000,0.9147,4,3,4,0
364,40,Male,Graduate school,Married,110000,0.0,1,1,2,1
365,35,Female,Graduate school,Single,230000,0.0033,-2,0,0,0
366,56,Female,University,Married,330000,0.0,1,1,2,0
367,61,Female,University,Married,50000,0.9433,0,0,0,0
368,24,Male,University,Single,10000,0.2887,2,3,-1,0
369,40,Male,Graduate school,Married,300000,0.0,1,1,3,0
370,32,Female,University,Married,20000,1.0316,3,2,3,1
371,36,Male,University,Married,180000,0.4641,2,2,4,1
372,30,Male,Graduate school,Single,160000,0.0006,-1,0,0,0
373,34,Female,Graduate school,Single,90000,0.3811,2,3,-2,0
374,54,Male,High school,Others,30000,0.7662,0,0,0,0
375,46,Male,Graduate school,Married,180000,0.9626,0,0,0,0
376,58,Male,High school,Married,30000,0.6381,0,0,0,0
377,43,Male,University,Married,30000,0.6839,2,3,-1,0
378,28,Female,Graduate school,Single,140000,0.0774,0,0,0,0
379,30,Male,Graduate school,Single,210000,0.333,0,0,0,0
380,31,Male,University,Single,50000,0.4105,0,0,0,1
381,29,Female,University,Single,130000,0.685,0,0,0,0
382,37,Female,University,Married,50000,0.0379,2,3,2,1
383,36,Male,High school,Married,140000,0.7185,0,0,0,0
384,28,Female,University,Single,170000,0.0173,2,1,-1,1
385,25,Male,University,Single,80000,0.2827,0,0,2,0
386,42,Female,Others,Married,410000,0.8246,0,0,0,0
387,29,Female,Graduate school,Single,80000,0.0,1,1,3,0
388,73,Male,High school,Married,80000,0.7893,2,3,-3,1
389,43,Male,University,Married,150000,1.0217,0,0,0,0
390,30,Male,Graduate school,Married,260000,0.0044,0,0,0,1
391,38,Male,Graduate school,Married,350000,0.0,1,1,3,0
392,39,Female,University,Married,280000,0.0,1,1,1,1
393,44,Male,University,Married,310000,0.3348,0,0,0,0
394,29,Female,University,Single,140000,0.1436,0,0,0,0
395,51,Male,Graduate school,Married,360000,0.1056,-1,0,1,0
396,27,Female,Graduate school,Single,140000,1.0173,0,0,0,0
397,38,Male,Graduate school,Single,100000,0.4081,0,0,0,0
398,22,Female,University,Single,50000,0.0,-2,0,0,0
399,30,Female,University,Married,210000,0.4986,0,0,0,0
400,25,Female,University,Single,120000,1.0025,2,6,0,0
401,29,Male,Graduate school,Single,240000,0.6515,0,0,1,0
402,42,Female,High school,Others,60000,0.6887,0,0,0,0
403,41,Male,Graduate school,Single,150000,0.0098,2,1,-3,1
404,48,Male,University,Married,30000,0.9293,0,0,0,0
405,29,Female,Graduate school,Single,160000,1.0027,2,6,0,1
406,52,Male,Graduate school,Married,200000,0.0193,-2,0,0,0
407,25,Female,University,Married,120000,0.2206,0,0,2,0
408,37,Male,Graduate school,Married,500000,1.0141,2,2,1,0
409,27,Female,Graduate school,Single,320000,0.1738,0,0,0,0
410,31,Male,Graduate school,Single,280000,0.6014,0,0,0,0
411,23,Female,Graduate school,Single,60000,0.4889,2,6,-1,1
412,38,Female,Graduate school,Married,200000,0.001,-1,0,1,0
413,32,Female,Graduate school,Married,230000,0.0,1,1,2,0
414,27,Female,University,Single,230000,0.0594,2,2,1,1
415,41,Female,High school,Married,480000,0.031,-2,0,0,0
416,35,Female,High school,Married,50000,0.45,-1,0,1,0
417,31,Female,Graduate school,Single,200000,0.0359,-2,0,0,0
418,30,Female,Graduate school,Single,50000,0.2962,2,1,-2,0
419,48,Male,University,Married,50000,0.8868,0,0,0,0
420,36,Female,Graduate school,Single,260000,0.0,1,1,3,1
421,24,Male,Graduate school,Single,30000,0.8422,2,2,0,0
422,29,Female,Graduate school,Single,440000,0.3856,0,0,0,0
423,38,Female,University,Single,230000,0.0445,-1,0,0,0
424,38,Male,University,Married,200000,0.5249,2,3,2,1
425,30,Female,University,Married,490000,0.393,0,0,0,0
426,32,Female,University,Married,80000,0.1408,-1,0,1,0
427,49,Female,High school,Single,20000,0.4776,2,4,2,1
428,31,Female,Graduate school,Single,170000,0.0012,0,0,0,1
429,27,Male,Graduate school,Single,70000,1.0017,0,0,0,0
430,33,Female,University,Single,210000,1.0124,0,0,0,0
431,25,Female,University,Single,90000,1.021,0,0,0,0
432,27,Female,Graduate school,Single,390000,0.7817,0,0,0,1
433,29,Female,Graduate school,Single,110000,0.4375,0,0,0,0
434,36,Female,Graduate school,Married,580000,0.2754,0,0,0,0
435,55,Male,High school,Married,360000,0.0256,0,0,2,0
436,32,Female,University,Married,270000,0.8695,2,6,-1,1
437,27,Female,Graduate school,Single,60000,0.2345,2,1,0,0
438,37,Male,High school,Married,110000,0.5619,0,0,0,0
439,25,Female,Graduate school,Married,50000,1.0209,0,0,0,0
440,23,Female,Graduate school,Single,80000,0.9628,0,0,0,1
441,23,Male,University,Single,50000,0.007,0,0,-1,0
442,32,Male,Graduate school,Single,100000,0.8383,2,2,-2,0
443,26,Female,Graduate school,Single,30000,0.0,1,1,2,0
444,27,Female,Graduate school,Single,200000,0.6146,0,0,0,0
445,44,Male,Graduate school,Single,240000,1.0256,0,0,0,1
446,34,Male,University,Single,220000,0.1696,0,0,0,0
447,28,Female,Graduate school,Single,160000,0.9152,0,0,0,0
448,53,Female,Graduate school,Married,180000,0.2562,0,0,0,0
449,42,Male,Others,Married,200000,0.1928,0,0,0,0
450,30,Female,High school,Married,140000,0.6879,2,1,0,0
451,51,Male,Graduate school,Married,380000,0.0,1,1,3,1
452,53,Male,Graduate school,Married,600000,0.7786,2,2,2,1
453,37,Male,University,Single,260000,0.9834,0,0,0,0
454,26,Female,Graduate school,Single,200000,0.7839,0,0,2,0
455,42,Male,University,Single,80000,0.9766,0,0,0,0
456,39,Male,University,Single,40000,1.0008,0,0,1,0
457,39,Male,High school,Single,130000,0.5464,2,6,-1,0
458,32,Male,Graduate school,Single,50000,0.4795,0,0,1,0
459,41,Female,University,Married,230000,0.0036,-1,0,0,0
460,48,Male,University,Married,70000,0.7275,0,0,1,1
461,38,Female,University,Married,180000,0.8473,0,0,0,0
462,36,Female,University,Married,80000,0.0211,-1,0,0,0
463,26,Female,University,Single,290000,0.0717,0,0,0,0
464,28,Female,Graduate school,Single,230000,0.131,0,0,0,0
465,56,Female,High school,Others,170000,0.0,1,1,2,0
